Title,Release Date,Phase,Budget,Box Office,IMDb Rating,Rotten Tomatoes,Runtime
Iron Man,2008-05-02,Phase 1,140,585,7.9,94,126
The Avengers,2012-05-04,Phase 1,220,1518,8.0,91,143
Black Panther,2018-02-16,Phase 3,200,1347,7.3,96,134
Avengers: Endgame,2019-04-26,Phase 3,356,2798,8.4,94,181
Shang-Chi,2021-09-03,Phase 4,150,432,7.4,91,132
Doctor Strange,2016-11-04,Phase 3,165,678,7.5,89,115
Captain Marvel,2019-03-08,Phase 3,175,1128,6.8,79,123
Spider-Man: No Way Home,2021-12-17,Phase 4,200,1901,8.3,93,148
Thor: Ragnarok,2017-11-03,Phase 3,180,854,7.9,93,130
Guardians of the Galaxy,2014-08-01,Phase 2,170,773,8.0,92,121
